"Name","Releaseyear","Market","Processor","Codename","DeviceID","Clockrate","Clockrate","APIsupport","APIsupport","APIsupport","Coreconfig","APIsupport","eDRAM(MB)","Memorybandwidth(GB/s)"
"UHDGraphics620","Corei7-8550UCorei7-8650U","5917","Mobile","38.4","2017","1150","300","KabyLake(Gen9p5)","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics630","2017","Desktop","Corei5-7400TCorei5-7400","KabyLake(Gen9p5)","5912","192:24:3(GT2)","350","1000","38.4","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics630","Desktop","PentiumG4600T","5912","350","2017","38.4","1050","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics630","Desktop","PentiumG4600PentiumG4620Corei3-7100TCorei3-7100Corei3-7300TCorei5-7500TCorei5-7500Corei5-7600T","5912","350","2017","38.4","1100","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics630","Desktop","Corei3-7300Corei3-7320Corei3-7350KCorei5-7600Corei5-7600KCorei7-7700TCorei7-7700Corei7-7700K","5912","350","2017","38.4","1150","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphics630","Mobile","2017","Corei3-7100ECorei3-7100HCorei3-7102E","350","591B","38.4","KabyLake(Gen9p5)","950","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"Mobile","HDGraphics630","591B","Corei5-7300HQCorei5-7440EQCorei5-7440HQCorei5-7442EQCorei7-7820EQ","2017","1000","350","KabyLake(Gen9p5)","38.4","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Mobile","HDGraphics630","591B","Corei7-7700HQCorei7-7820HKCorei7-7820HQCorei7-7920HQ","2017","1100","350","KabyLake(Gen9p5)","38.4","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"Mobile","HDGraphics630","Corei5-8305G","2017","?","350","1000","38.4","KabyLake(Gen9p5)","12FL12_1","192:24:3(GT2)","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"Mobile","?","HDGraphics630","Corei7-8705GCorei7-8706GCorei7-8709GCorei7-8809G","2017","1100","350","KabyLake(Gen9p5)","38.4","12FL12_1","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphicsP630","2017","MobileWorkstation","XeonE3-1501Lv6XeonE3-1501Mv6XeonE3-1505Lv6","350","KabyLake(Gen9p5)","38.4","591D","192:24:3(GT2)","1000","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphicsP630","MobileWorkstation","XeonE3-1505Mv6XeonE3-1535Mv6","591D","2017","1100","KabyLake(Gen9p5)","350","12FL12_1","38.4","4.64.14.6ES3.2","192:24:3(GT2)","3.01.23.0","1.21.2","-"
"HDGraphicsP630","Workstation","2017","591D","XeonE3-1225v6XeonE3-1245v6XeonE3-1275v6XeonE3-1285v6","1150","350","KabyLake(Gen9p5)","38.4","12FL12_1","192:24:3(GT2)","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"IrisPlusGraphics640","2017","Mobile","Corei5-7260U","KabyLake(Gen9p5)","5926","300","950","384:48:6(GT3)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","64","34.1"
"IrisPlusGraphics640","Mobile","Corei5-7360U","5926","300","2017","384:48:6(GT3)","64","34.1","1000","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics640","Mobile","Corei7-7560U","5926","300","2017","384:48:6(GT3)","64","34.1","1050","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics640","Mobile","Corei7-7660U","5926","300","2017","384:48:6(GT3)","64","34.1","1100","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics650","Mobile","2017","Corei3-7167U","300","5927","384:48:6(GT3)","64","34.1","KabyLake(Gen9p5)","1000","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics650","Corei5-7267U","5927","Mobile","2017","1050","300","KabyLake(Gen9p5)","384:48:6(GT3)","64","34.1","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics650","Corei5-7287U","5927","Mobile","2017","1100","300","KabyLake(Gen9p5)","384:48:6(GT3)","64","34.1","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"IrisPlusGraphics650","Corei7-7567U","5927","Mobile","2017","1150","300","KabyLake(Gen9p5)","384:48:6(GT3)","64","34.1","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2"
"UHDGraphics610","2018","Desktop","CeleronG4900T","CoffeeLake","3E93","350","1000","96:12:2(GT1)","12","4.64.6ES3.2","3.03.0","1.21.2","-","38.4"
"UHDGraphics610","2018","Desktop","CeleronG4900CeleronG4920PentiumGoldG5400TPentiumGoldG5400","CoffeeLake","3E93","350","1050","96:12:2(GT1)","12","4.64.6ES3.2","3.03.0","1.21.2","-","38.4"
"UHDGraphics630","2018","Desktop","PentiumGoldG5500T","CoffeeLake","3E91","350","1050","184:23:3(GT2)","12","4.64.6ES3.2","3.03.0","1.21.2","-","38.4"
"UHDGraphics630","Desktop","PentiumGoldG5500PentiumGoldG5600Corei3-8100TCorei3-8100Corei3-8300T","3E91","2018","184:23:3(GT2)","38.4","1100","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","Desktop","Corei3-8300Corei3-8350K","3E91","2018","184:23:3(GT2)","38.4","1150","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","Desktop","Corei5-8400TCorei5-8400Corei5+8400","2018","3E92","1050","CoffeeLake","192:24:3(GT2)","350","42.7","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","3E92","Desktop","192:24:3(GT2)","42.7","Corei5-8500TCorei5-8500Corei5+8500","2018","1100","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","3E92","Desktop","192:24:3(GT2)","42.7","Corei5-8600TCorei5-8600Corei5-8600KCorei5-9600K","2018","1150","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","3E92","Desktop","192:24:3(GT2)","42.7","Corei7-8700TCorei7-8700Corei7+8700Corei7-8700KCorei7-8086KCorei7-9700KCorei9-9900KCorei9-9900KS","2018","1200","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","Mobile","2018","192:24:3(GT2)","42.7","Corei5-8300H","3E9B","CoffeeLake","1000","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"Mobile","UHDGraphics630","3E9B","Corei5-8400B","2018","192:24:3(GT2)","42.7","1050","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"Mobile","UHDGraphics630","3E9B","Corei5-8400HCorei7-8750H","2018","192:24:3(GT2)","42.7","1100","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"Mobile","UHDGraphics630","3E9B","Corei5-8500BCorei7-8850HCorei7-9750HCorei7-9850H","2018","192:24:3(GT2)","42.7","1150","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"Mobile","UHDGraphics630","3E9B","Corei7-8700BCorei9-8950HK","2018","192:24:3(GT2)","42.7","1200","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"UHDGraphics630","1200","MobileWorkstation","3E9B","2018","192:24:3(GT2)","42.7","XeonE-2176MXeonE-2186M","CoffeeLake","350","12","4.64.6ES3.2","3.03.0","1.21.2","-"
"IrisPlusGraphics645","2018","Mobile","Corei5-8257U","CoffeeLake","3EA6","300","1050","384:48:6(GT3)","12","4.64.6ES3.2","3.03.0","1.21.2","128","38.4"
"IrisPlusGraphics645","Mobile","Corei7-8557U","3EA6","300","2018","384:48:6(GT3)","128","38.4","1150","CoffeeLake","12","4.64.6ES3.2","3.03.0","1.21.2"
"IrisPlusGraphics655","Mobile","2018","Corei3-8109UCorei5-8259U","300","3EA5","384:48:6(GT3)","128","38.4","CoffeeLake","1050","12","4.64.6ES3.2","3.03.0","1.21.2"
"IrisPlusGraphics655","Corei5-8259U","3EA5","Mobile","2018","1100","300","CoffeeLake","384:48:6(GT3)","128","38.4","12","4.64.6ES3.2","3.03.0","1.21.2"
"IrisPlusGraphics655","Corei7-8559UCorei7-8569U","3EA5","Mobile","2018","1200","300","CoffeeLake","384:48:6(GT3)","128","38.4","12","4.64.6ES3.2","3.03.0","1.21.2"
